upc,store,qty,price,name,datetime
611247358337,188,0,45,KEURIG K50 BREWER RD,2018-04-02 05:41:39.970984
34264483682,216,1,9,OS OSKAR FOOD PREP,2018-04-02 05:41:39.972143
34264483682,196,0,19,OS OSKAR FOOD PREP,2018-04-02 05:41:39.972228
34264483682,262,0,9,OS OSKAR FOOD PREP,2018-04-02 05:41:40.113026
34264483682,224,0,19,OS OSKAR FOOD PREP,2018-04-02 05:41:40.113135
34264483682,222,0,15,OS OSKAR FOOD PREP,2018-04-02 05:41:40.113238
735541304248,833,0,8,DREAM TENTS SPACE,2018-04-02 05:41:40.121049
735541304248,216,71,14.88,DREAM TENTS SPACE,2018-04-02 05:41:40.121224
735541304248,196,184,14.88,DREAM TENTS SPACE,2018-04-02 05:41:40.121310
735541304248,262,0,2.5,DREAM TENTS SPACE,2018-04-02 05:41:40.121402
735541304248,302,30,14.88,DREAM TENTS SPACE,2018-04-02 05:41:40.121497
735541304248,252,0,10,DREAM TENTS SPACE,2018-04-02 05:41:40.121584
735541304248,233,0,5,DREAM TENTS SPACE,2018-04-02 05:41:40.121664
735541304248,237,47,14.88,DREAM TENTS SPACE,2018-04-02 05:41:40.121757
735541304248,224,49,14.88,DREAM TENTS SPACE,2018-04-02 05:41:40.121842
735541304248,222,21,14.88,DREAM TENTS SPACE,2018-04-02 05:41:40.121935
735541304248,122,30,10,DREAM TENTS SPACE,2018-04-02 05:41:40.122026
735541304248,188,35,14.88,DREAM TENTS SPACE,2018-04-02 05:41:40.122110
85081270887,262,0,49,PW 14PC RSWD BLK SET,2018-04-02 22:49:07.166803
45496901172,216,0,0.03,WII WARIO LND SHAKE,2018-04-02 23:03:42.501899
45496901820,262,0,0.03,SIN   PUNISHMENT 2,2018-04-02 23:03:42.503124
45496901998,216,0,0.03,WII KIRBY S EPICYARN,2018-04-02 23:03:42.503392
45496901998,224,0,0.03,WII KIRBY S EPICYARN,2018-04-02 23:03:42.503496
45496901998,262,0,0.03,WII KIRBY S EPICYARN,2018-04-02 23:03:42.503549
191628693696,222,1,99,HP 14  STREAM COMP,2018-04-02 23:05:40.338201
191628693696,237,1,99,HP 14  STREAM COMP,2018-04-02 23:05:40.338466
191628693696,262,0,99,HP 14  STREAM COMP,2018-04-02 23:05:40.338530
191628693696,302,0,99,HP 14  STREAM COMP,2018-04-02 23:05:40.338581
50875815698,82,0,9,BD 14C RICE COOKER,2018-04-02 23:16:30.822156
50875815698,122,0,9,BD 14C RICE COOKER,2018-04-02 23:16:30.822769
50875815698,188,0,5,BD 14C RICE COOKER,2018-04-02 23:16:30.823287
50875815698,196,2,5,BD 14C RICE COOKER,2018-04-02 23:16:30.823371
50875815698,216,0,15,BD 14C RICE COOKER,2018-04-02 23:16:30.823424
50875815698,222,0,9,BD 14C RICE COOKER,2018-04-02 23:16:30.823470
50875815698,224,0,7.5,BD 14C RICE COOKER,2018-04-02 23:16:30.823526
50875815698,233,1,5,BD 14C RICE COOKER,2018-04-02 23:16:30.823576
50875815698,237,0,15,BD 14C RICE COOKER,2018-04-02 23:16:30.823632
50875815698,252,0,9,BD 14C RICE COOKER,2018-04-02 23:16:30.823815
50875815698,262,0,5,BD 14C RICE COOKER,2018-04-02 23:16:30.823878
50875815698,302,0,9,BD 14C RICE COOKER,2018-04-02 23:16:30.823935
50875815698,352,0,5,BD 14C RICE COOKER,2018-04-02 23:16:30.823990
50875815698,596,0,15,BD 14C RICE COOKER,2018-04-02 23:16:30.824059
50875815698,833,0,9,BD 14C RICE COOKER,2018-04-02 23:16:30.824126
190404654869,122,1,25,8  LENOVO TAB 3 A8,2018-04-02 23:17:25.353189
190404654869,188,1,25,8  LENOVO TAB 3 A8,2018-04-02 23:17:25.353690
190404654869,196,0,25,8  LENOVO TAB 3 A8,2018-04-02 23:17:25.353940
190404654869,222,1,25,8  LENOVO TAB 3 A8,2018-04-02 23:17:25.354013
190404654869,233,1,25,8  LENOVO TAB 3 A8,2018-04-02 23:17:25.354086
190404654869,237,1,25,8  LENOVO TAB 3 A8,2018-04-02 23:17:25.354145
190404654869,302,1,25,8  LENOVO TAB 3 A8,2018-04-02 23:17:25.354201
190404654869,833,1,25,8  LENOVO TAB 3 A8,2018-04-02 23:17:25.354257
27045795470,188,1,9,SB FLC ACORN TH KNIT,2018-04-02 23:22:53.735029
27045795470,237,1,9,SB FLC ACORN TH KNIT,2018-04-02 23:22:53.735636
27045795470,302,1,9,SB FLC ACORN TH KNIT,2018-04-02 23:22:53.735981
27045795470,596,0,9,SB FLC ACORN TH KNIT,2018-04-02 23:22:53.736052
190198043351,188,0,818,7  GLD 128GB,2018-04-02 23:32:00.080990
190198043351,196,0,818,7  GLD 128GB,2018-04-02 23:32:00.081035
190198043351,216,0,818,7  GLD 128GB,2018-04-02 23:32:00.081079
190198043351,224,0,818,7  GLD 128GB,2018-04-02 23:32:00.081123
190198043351,237,0,818,7  GLD 128GB,2018-04-02 23:32:00.081188
190198066596,833,0,698,7 GLD 128GB,2018-04-02 23:32:00.081491
616960147961,1681,6,399,ST SAM GLXY S7 S930C,2018-04-02 23:35:32.240509
616960147961,1735,7,399,ST SAM GLXY S7 S930C,2018-04-02 23:35:32.240568
616960147961,1737,2,399,ST SAM GLXY S7 S930C,2018-04-02 23:35:32.240625
616960147961,1897,2,399,ST SAM GLXY S7 S930C,2018-04-02 23:35:32.240689
616960147961,1933,8,399,ST SAM GLXY S7 S930C,2018-04-02 23:35:32.240748
616960147961,1938,2,399,ST SAM GLXY S7 S930C,2018-04-02 23:35:32.240803
616960147961,1998,3,399,ST SAM GLXY S7 S930C,2018-04-02 23:35:32.240858
616960147961,2204,3,399,ST SAM GLXY S7 S930C,2018-04-02 23:35:32.240957
